domain,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
경찰,1753,21690,29530,16704,19500,72580,95876,155087,228194,378628,1180283,1974021,2103621,1382058,4225464,4867080
과학기술,1585,21572,33656,8291,9722,36301,45258,53553,70103,55661,56331,62157,63235,62463,70287,82008
관광,717,4240,6238,4222,7030,21202,24462,25187,27945,32395,52824,58978,73955,103199,107333,112649
교육,3059,26827,42980,8986,12917,47640,66403,72135,94730,92466,85153,109757,236651,193884,196379,578648
교통,1344,18905,15766,6767,10281,47761,61994,77989,94122,116026,251327,321665,364051,400905,1055106,1054370
국방,1061,12293,19434,6101,7965,47288,97087,88620,87211,83752,79272,73542,77555,78811,86910,159210
기타,1954,91248,123691,63304,68723,82425,93763,93663,108023,120744,187307,233519,260183,386244,501897,608720
노동,1494,25739,54008,6442,8475,78744,96435,96215,96021,89319,82743,78497,108415,137538,153294,195610
농림·축산,798,11009,14048,5248,6207,25361,28705,27017,31932,34069,42649,45306,56822,63056,64639,82472
도로,682,12377,15538,5861,8332,32690,37719,43640,50118,57300,323668,444740,511674,345353,808703,715671
도시,392,18184,23053,4698,4374,17102,17379,18170,24282,26387,32501,46933,83601,122591,154404,207961
문화,2397,12537,16088,12556,15499,39719,41613,53292,52734,53432,68341,71832,82289,232933,249948,216200
방송통신,641,7671,11634,3965,4436,23535,30325,37809,47102,42616,55213,66915,69461,61394,113037,151682
법무,1133,14683,19905,6145,9073,23873,25068,27059,30425,28469,30747,29095,35308,49249,40796,49199
보건,958,17350,18260,4927,7808,33922,42576,46909,58647,62308,81997,92326,107139,107021,147778,248217
복지,1369,13825,19747,5908,11190,33496,31198,36414,33624,40517,50877,43265,44029,41219,77565,62552
사법,1075,14955,17356,7955,9061,31143,35665,42882,56808,48598,39518,41874,50697,56541,57449,67902
산업·통상,1896,18368,24525,11874,11843,38592,51965,58519,74500,75796,73974,83684,92608,106681,143236,240834
세무,3322,18933,25551,9070,6280,18739,36873,31643,40569,36565,33133,34070,36245,40388,38821,49919
수자원,415,10517,12306,5064,5776,10776,11227,12000,15474,18466,42173,50113,58014,60013,88915,116221
외무통일,1061,12069,18924,4168,4405,15046,15317,13740,16033,14739,14516,12780,14137,14481,15941,29565
우정,449,4760,6364,1632,2404,11810,19124,18941,31932,21294,24418,23297,25177,27229,40052,38657
재정,2499,26733,35783,11113,12428,37590,46215,44527,58671,49591,43432,43452,48275,73102,72867,120328
주택·건축,2481,41676,43120,11044,8341,66155,71796,94590,92563,95925,127141,146301,187413,321228,1320268,1109658
체육,294,2497,3870,1849,2972,9737,10536,11291,12338,16124,28950,37337,62161,41428,87005,114775
해양수산,399,5144,6814,3033,2857,9226,11668,11713,24818,30389,34419,40387,48403,56163,72463,88348
행정·안전,2732,22302,33065,14194,18993,59024,78585,89518,101750,108698,290714,360816,360277,276060,594966,823476
환경,606,15554,17653,13646,10877,23585,26860,28282,36188,41729,148643,215635,251618,165237,444781,435020
